date,depositCount,deposits,withdrawCount,withdrawals,svZCHFPrice,totalAssets,totalShares,impliedYield,nativeYield
2025-09-11,2,0.02,1,0.01,1,0.01,0.01,0,3
2025-09-17,1,180000,0,0,1.0002604452054793,180000.01000260445,179953.1420695415,0,3
2025-09-18,6,20.11597603363492,4,13.574113529707214,1.0002604452054793,180006.55186510837,179959.6822286923,0,3
2025-09-19,7,33.28735302112588,7,21.08856229130876,1.0002604452054793,180018.7506558382,179971.87784313282,0,3
2025-09-20,6,9166.365820381163,2,620.2474106597973,1.000278663765671,188568.30280598585,188515.77029154805,0.6648,3
2025-09-21,7,22001.271858310654,3,176.11402368555048,1.0003355032529624,210404.49849432937,210333.9307763455,2.074,3
2025-09-22,10,110.71572735676818,4,187.29449248245143,1.0004018603223341,210341.8772135572,210257.38311380593,2.4212,3
2025-09-23,30,9722.530415332656,28,1963.5612002244634,1.0004825620397313,218117.90012744942,218012.695476433,2.9444,3
2025-09-24,33,2736.7679710413363,37,3932.615501144067,1.0005583495243293,216938.49324409507,216817.43333332712,2.7649,3
2025-09-25,26,16318.405553460918,29,203074.51094593047,1.0006086870665192,30192.175366704443,30173.808959443213,1.8362,3
2025-09-26,20,16391.44749001469,20,579.719105220861,1.0006411171518659,46004.882259652906,45975.40663789334,1.1829,3
2025-09-27,11,12392.57351220736,16,554.5021395485514,1.0006702882357612,57844.319158597915,57805.5727632133,1.064,3
2025-09-28,13,1389.5589374522526,19,11943.805294931219,1.0006993320780342,47291.45007440062,47258.40075879341,1.0593,3
2025-09-29,23,10631.304468011467,28,791.05298918201,1.0007349132320864,57133.43584114082,57091.478558109084,1.2978,3
2025-09-30,23,12793.563810470325,33,1340.5001053794647,1.0007774329072918,68588.9300578531,68535.6481896279,1.5508,3
2025-10-01,21,13330.814401284148,28,3411.917298625594,1.0008229433683182,78511.03528512873,78446.47827606351,1.6598,3
2025-10-02,19,22738.27291059541,30,1481.8367875801916,1.0008396303553455,99768.88667197927,99685.1879621879,0.6085,3
2025-10-03,14,11787.36461859056,37,1283.949756618033,1.0008918372059548,110277.72386853289,110179.46172523426,1.9039,3
2025-10-04,10,6335.559998433547,53,2892.90547456618,1.0009611402428766,113728.1789995666,113618.97523011854,2.5273,3
2025-10-05,3,1545.6919689760819,21,1948.6968220801639,1.001030367528185,113333.0304426282,113216.37596517488,2.5243,3
2025-10-06,14,7607.509585406098,36,3415.94002138753,1.0011000079229495,117532.59914777846,117403.4544177373,2.5392,3
2025-10-07,12,7021.795927822793,21,711.4521077997995,1.0011793681415893,123852.42524646228,123706.52970641997,2.8934,3
2025-10-08,13,6082.090191293803,31,6504.990951775846,1.0012505188417853,123438.32954565823,123284.16038020911,2.5939,3
2025-10-09,8,1575.8880499100112,27,2434.1361516651978,1.0013203992603676,122588.68972074219,122427.03715143842,2.5474,3
2025-10-10,15,3013.70359950231,42,3804.370086159314,1.0014029073557313,121808.1892423468,121637.54303848502,3.0075,3
2025-10-11,6,28375.754675774995,31,1848.9608249303974,1.00144459018175,148340.04273174502,148126.0612779616,1.5192,3
2025-10-12,5,4042.6503439444523,22,1608.2626024315653,1.0015089457738797,150784.1603239136,150556.97800821997,2.3455,3
2025-10-13,13,16686.398093410226,29,1700.1433831412796,1.0015627372069822,165778.85295904454,165520.18840212186,1.9604,3
2025-10-14,14,13107.700885253378,38,2762.2529825459173,1.0016361201818909,176136.83569953835,175849.12539650928,2.6742,3
2025-10-15,21,36545.63130624017,54,4399.798692947995,1.0016758898600184,208289.67405793446,207941.1875302723,1.4492,3
2025-10-16,16,2273.374374980494,43,4601.517734291989,1.001752171278469,205977.23744553034,205616.9613115542,2.7796,3
2025-10-17,11,20204.258721856433,39,2540.871593380542,1.0018094643014621,223652.94675856415,223248.98568862295,2.0875,3
2025-10-18,10,4574.034876936671,36,2139.4225603935233,1.001890510371684,226105.72153081474,225679.07290281996,2.9528,3
2025-10-19,4,16.507556810738542,26,2219.459839721823,1.0019631399961397,223919.05763384947,223480.3344509382,2.6459,3
2025-10-20,13,11291.528471897096,35,1922.8430425075603,1.0020393287555027,233305.08376565756,232830.26630842342,2.7754,3
2025-10-21,15,2399.0044842116836,43,2379.597683106352,1.0021222882835263,233343.8067935953,232849.63274619463,3.0218,3
2025-10-22,17,6857.3008401823845,16,2270.6162141868913,1.002188522219534,237946.08102132202,237426.46792077195,2.4124,3
2025-10-23,16,8539.285868120693,34,3826.8175892815025,1.0022697600349428,242678.03103903902,242128.45754278605,2.9587,3
2025-10-24,15,6230.312006236663,51,3933.1919815926162,1.0023452908566048,244993.49699767068,244420.26039579546,2.7506,3
2025-10-25,8,2048.111586241273,48,2630.836519149853,1.0024215427555923,244429.39414222815,243838.927753196,2.7766,3
2025-10-26,9,2661.7929703362133,41,4272.532196794311,1.0024985151848549,242837.4642224226,242232.24328431525,2.8027,3
2025-10-27,13,26185.802803253875,35,2126.687005748374,1.0025581574766944,266911.53748576046,266230.4779979461,2.1715,3
2025-10-28,17,20593.679837603355,41,2968.2194733742504,1.0026291355217491,284556.2011856863,283810.0261644687,2.584,3
2025-10-29,7,2746.475963730052,64,2448.2320768854856,1.0027085387867758,284877.0112898479,284107.4951197025,2.8906,3
2025-10-30,20,9673.218153651203,63,2356.319795963041,1.0027842627973944,292215.7021201579,291404.35581326834,2.7564,3
2025-10-31,13,3004.0090711802286,71,9648.427569388494,1.0028639665684633,285594.1815645839,284778.58521710784,2.9011,3
2025-11-01,6,1656.148909284103,55,3387.5704213089803,1.0029451418506208,283885.79709117947,283052.16830439726,2.9544,3
2025-11-02,6,379.0509549467,36,9048.86652857203,1.0030196772403601,275236.79474272113,274408.1706352849,2.7125,3
2025-11-03,11,4096.628808583786,48,40724.409452238135,1.0031031718381775,238630.69151958672,237892.4703052211,3.0383,3
2025-11-04,22,19556.23110150456,63,16531.914924636865,1.003165938635633,241670.1498531146,240907.45164434187,2.2839,3
2025-11-05,12,7837.234959299936,54,3295.8101001776568,1.0032389970902744,246229.30777438314,245434.34663976353,2.6582,3
2025-11-06,11,14010.177632038507,30,1902.987538433012,1.0033108304590268,258354.1994761625,257501.655153032,2.6134,3
